date,recession_probability,1_month_recession_probability,3_month_recession_probability,6_month_recession_probability,1_year_rate,3_months_rate,6_months_rate,CPI,INDPRO,10_year_rate,share_price,unemployment_rate,PPI,OECD_CLI_index,CSI_index,Year,Quarter_Number,Month_Number,gdp_per_capita,seasonally_adjusted_INDPRO,seasonally_adjusted_CPI,seasonally_adjusted_unemployment_rate,anomaly_INDPRO,anomaly_CPI,anomaly_unemployment_rate,anomaly_PPI,anomaly_share_price,anomaly_1_year_rate,anomaly_3_months_rate,anomaly_6_months_rate,anomaly_10_year_rate,CPI_trend,INDPRO_trend,unemployment_rate_trend,PPI_trend,seasonally_adjusted_PPI
1973-02-01,0.0,0.24,0.08,0.22,5.929444444444445,5.599444444444445,5.825555555555556,43.0,44.6103,6.64,2.005988590192766,5.0,36.3,103.670857825371,81.9,1973,1,2,28769.666666666668,44.422221401301314,42.92636401046246,5.064101081962083,0,0,0,0,0,0,0,0,0,43.37234899057762,43.824334120281684,5.120738983632659,36.118111060429,35.99603088671771
1973-03-01,0.24,0.24,0.08,0.06,6.530454545454545,6.093636363636364,6.514545454545455,43.4,44.6294,6.71,1.9783660148819788,4.9,36.4,103.42900924033,81.9,1973,1,3,28852.333333333332,44.419745839615445,43.31799096604332,4.983963738305863,0,0,0,0,0,0,0,0,0,43.63587809243244,44.085443921812214,5.0689252161742875,36.268613671139015,36.24513816600898
1973-04-01,0.24,0.08,0.1,0.1,6.513,6.263,6.524500000000001,43.7,44.568,6.67,1.9478464713561208,5.0,36.5,103.090305001318,81.9,1973,2,4,28935.0,44.431867210352884,43.70375461317929,5.071054664779326,0,0,0,0,0,0,0,0,0,43.90353824503813,44.31220670964307,5.038859751376327,36.430487118339734,36.466102029195405
1973-05-01,0.08,0.08,0.22,1.02,6.630909090909091,6.358181818181818,6.617727272727273,43.9,44.8608,6.85,1.907189761857792,4.9,36.8,102.693357361006,77.0,1973,2,5,28860.333333333332,44.638914886562546,43.86743613366798,5.0275447854108615,0,0,0,0,0,0,0,0,0,44.173804091036835,44.48327919009922,5.040889010207763,36.6068477609026,36.70564537780471
1973-06-01,0.08,0.1,0.06,29.88,7.051904761904762,7.185238095238095,7.229047619047619,44.2,44.9186,6.9,1.872304285136286,4.9,36.8,102.28615129717,77.0,1973,2,6,28785.666666666668,44.816683953847516,44.175233320660894,4.95080095224462,0,0,0,0,0,0,0,0,0,44.44173755092041,44.605233521745085,5.058450636786877,36.79679257960319,36.66221935679733
1973-07-01,0.1,0.22,0.1,33.2,7.973333333333334,8.00952380952381,8.12095238095238,44.2,45.085,7.13,1.893891473612904,4.8,36.8,101.907298953692,77.0,1973,3,7,28711.0,44.9544797133129,44.185517057602915,4.8605483142647445,0,0,0,0,0,0,0,0,0,44.705069053177894,44.70512656018547,5.074125878949425,37.06425088522357,36.927391163551
1973-08-01,0.22,0.06,1.02,28.78,8.320869565217391,8.673478260869565,8.647826086956522,45.0,45.0221,7.4,1.8765076208117264,4.8,36.8,101.579799686249,72.0,1973,3,8,28778.333333333332,44.95652703938153,44.93309994671189,4.625137571930391,0,0,0,0,0,0,0,0,0,44.988190957064305,44.79853506925591,5.087507043849183,37.762029056229196,37.29862504783407
1973-09-01,0.06,0.1,29.88,26.04,8.073157894736841,8.285263157894736,8.452105263157895,45.2,45.3801,7.09,1.9064845032024975,4.8,36.8,101.318665824436,72.0,1973,3,9,28845.666666666668,45.93722851794596,45.2332295379648,4.704365986097249,0,0,0,0,0,0,0,0,0,45.31928080619553,44.88300953128937,5.10327256207266,38.83094245438942,36.92478370550695
1973-10-01,0.1,1.02,33.2,24.8,7.1657142857142855,7.217619047619047,7.319047619047619,45.6,45.7462,6.79,1.9604189333016264,4.6,36.8,101.107110459289,72.0,1973,4,10,28913.0,46.15058929665618,45.67611339571698,4.480495526391784,0,0,0,0,0,0,0,0,0,45.68779043261653,44.95438201010083,5.123068808330547,39.80560294529308,36.71134688262632
1973-11-01,1.02,29.88,28.78,24.02,7.403499999999999,7.8325,7.9595,45.9,45.9548,6.73,1.8602684950933548,4.8,36.8,100.8990040102,76.5,1973,4,11,28810.666666666668,46.1789744740098,46.067130180312134,4.6295320189746505,0,0,0,0,0,0,0,0,0,46.0702677204832,45.0140393642936,5.146569987121654,40.664933066266364,36.8174676422772
1973-12-01,29.88,33.2,26.04,34.02,7.007894736842106,7.453157894736843,7.562105263157895,46.3,45.8252,6.74,1.7637364402817888,4.9,36.8,100.67682341674102,76.5,1973,4,12,28708.333333333332,45.91188033036461,46.43444459793405,4.856494467036949,0,0,0,0,0,0,0,0,0,46.46073003564798,45.065747430880116,5.173055935192563,41.49291411766076,37.07737051263405
1974-01-01,33.2,28.78,24.8,44.82,7.007727272727272,7.77,7.651363636363637,46.8,45.5207,6.99,1.7874149631817997,5.1,37.6,100.450432113212,61.8,1974,1,1,28606.0,45.29825540634954,46.832655512293215,5.201321512556253,0,0,0,0,0,0,0,0,0,46.85830091640311,45.1056036986374,5.20188765386967,42.33612001473061,37.1818548863563
1974-02-01,28.78,26.04,24.02,77.44,6.507777777777778,7.123333333333333,6.964444444444444,47.3,45.3825,6.96,1.7545255632374652,5.2,38.1,100.193392521158,61.8,1974,1,2,28608.333333333332,45.149913788884064,47.188327233108176,5.261147420962748,0,0,0,0,0,0,0,0,0,47.262319721467485,45.10919424000629,5.233832625151902,43.195102690975936,37.850549761789544
1974-03-01,26.04,24.8,34.02,82.08,7.335714285714286,7.961428571428572,7.831904761904762,47.8,45.3798,7.21,1.8050179620658533,5.1,39.9,99.8846994720709,61.8,1974,1,3,28610.666666666668,45.14254448663606,47.67245365603406,5.236594209110933,0,0,0,0,0,0,0,0,0,47.671803400206834,45.067357940282434,5.277346918092837,44.068611932270805,39.80508636988652
